Band_ID,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
22124,0,0,0,0,0,0,0,C,0,0,0
22126,0,0,0,0,0,0,0,C,0,0,0
22127,0,0,0,0,0,0,0,C,0,0,I
22128,0,0,0,0,0,0,0,I,U,I,0
22129,0,0,0,0,0,0,0,C,0,0,0
22131,0,0,0,0,0,0,0,C,U,0,0
22132,0,0,0,0,0,0,0,C,0,0,0
22133,0,0,0,0,0,0,0,I,U,C,0
22134,0,0,0,0,0,0,0,C,0,0,0
22137,0,0,0,0,0,0,0,U,0,0,0
22138,0,0,0,0,0,0,0,0,C,0,0
22140,0,0,0,0,0,0,0,0,C,0,0
22141,0,0,0,0,0,0,0,0,I,0,C
22142,0,0,0,0,0,0,0,0,U,0,0
22143,0,0,0,0,0,0,0,0,C,0,0
22144,0,0,0,0,0,0,0,0,U,0,0
22146,0,0,0,0,0,0,0,0,C,C,0
22147,0,0,0,0,0,0,0,0,U,0,0
22148,0,0,0,0,0,0,0,0,C,0,0
22149,0,0,0,0,0,0,0,0,I,0,0
22150,0,0,0,0,0,0,0,0,C,0,0
22179,0,0,0,0,0,0,0,0,0,0,U
22196,0,0,0,0,0,0,0,0,C,0,0
22240,0,0,0,0,0,0,0,0,0,I,0
22271,0,0,0,0,0,0,0,0,0,I,0
22272,0,0,0,0,0,0,0,0,0,C,0
22291,0,0,0,0,0,0,0,0,0,C,C
22292,0,0,0,0,0,0,0,0,0,C,0
22294,0,0,0,0,0,0,0,0,0,C,0
22301,0,0,0,0,0,0,0,0,0,I,I
22302,0,0,0,0,0,0,0,0,0,I,0
22303,0,0,0,0,0,0,0,0,0,I,I
22304,0,0,0,0,0,0,0,0,0,I,0
22305,0,0,0,0,0,0,0,0,0,C,C
22331,0,0,0,0,0,0,0,0,0,C,U
22332,0,0,0,0,0,0,0,0,0,C,0
22336,0,0,0,0,0,0,0,0,0,C,0
22337,0,0,0,0,0,0,0,0,0,C,0
22339,0,0,0,0,0,0,0,0,0,C,0
23701,0,0,0,0,0,0,0,0,0,0,C
23702,0,0,0,0,0,0,0,0,0,0,C
,0,0,0,U,0,U,0,U,0,0,0
,0,0,0,0,U,0,0,0,0,0,0
,0,0,0,0,U,0,U,0,0,0,U
04279,U,U,0,0,0,0,0,0,0,0,0
04425,0,U,0,0,0,0,0,0,0,0,0
04509,U,I,0,0,0,0,U,0,0,0,0
04771,0,U,0,0,0,0,0,0,0,0,0
36944,U,0,U,U,0,0,0,0,0,0,0
36945,U,0,U,U,0,0,0,0,0,0,0
36947,U,U,0,U,U,0,0,0,0,0,0
36958,U,U,0,0,0,0,0,0,0,0,0
36974,0,0,U,0,0,0,0,0,0,0,0
36992,0,0,U,0,U,0,0,0,0,0,0
36997,U,U,U,U,U,U,0,U,0,0,0
N33,0,0,0,U,0,0,0,0,0,0,0
57624,U,0,0,0,0,0,0,0,0,0,0
94057,U,0,0,0,0,0,0,0,0,0,0
36967,U,0,0,0,0,0,0,0,0,0,0
28210,U,0,0,U,0,0,0,0,0,0,0
57560,U,0,0,0,0,0,0,0,0,0,0
26098,U,0,0,0,0,0,0,0,0,0,0
26097,U,0,0,0,0,0,0,0,0,0,0
78214,U,0,0,0,0,0,0,0,0,0,0
94030,U,0,0,0,0,0,0,0,0,0,0
78239,U,0,0,0,0,0,0,0,0,0,0
57642,U,0,0,0,0,0,0,0,0,0,0
26059,U,0,0,0,0,0,0,0,0,0,0
78216,U,0,0,0,0,0,0,0,0,0,0
04219,U,0,0,0,0,0,0,0,0,0,0
78238,U,0,0,0,0,0,0,0,0,0,0
78211,U,0,0,0,0,0,0,0,0,0,0
36951,U,0,0,0,0,0,0,0,0,0,0
36943,U,0,0,0,0,0,0,0,0,0,0
78215,U,0,0,0,0,0,0,0,0,0,0
57617,U,0,0,0,0,0,0,0,0,0,0
78240,U,0,0,0,0,0,0,0,0,0,0
94229,U,0,0,0,0,0,0,0,0,0,0
78208,U,0,0,0,0,0,0,0,0,0,0
78221,U,0,0,0,0,0,0,0,0,0,0
78223,U,0,0,0,0,0,0,0,0,0,0
78202,U,0,0,0,0,0,0,0,0,0,0
78233,U,0,0,0,0,0,0,0,0,0,0
78213,U,0,0,0,0,0,0,0,0,0,0
26995,U,0,0,0,0,0,0,0,0,0,0
26981,U,0,0,0,0,0,0,0,0,0,0
