Sample_ID,Year,Band_ID,AgeClass,Sex,Mass,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L_GenBank,H_GenBank,P_GenBank
EMGO AK09 053,2009,78718,AHY,F,1747,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 054,2009,26911,AHY,F,,Nesting,1,1,1,0,0,0,0,0,0,,,
EMGO AK09 055,2009,78247,AHY,F,,Nesting,1,1,1,0,0,0,0,0,0,,,
EMGO AK09 057,2009,78218,AHY,F,,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 058,2009,78225,AHY,F,1552,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 059,2009,78717,AHY,F,1539,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 003,2010,79289,AHY,F,1536,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 004,2010,79288,AHY,F,1516,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 005,2010,79295,AHY,F,,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 006,2010,79287,AHY,F,1594,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 007,2010,79185,AHY,F,1743,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 008,2010,78468,AHY,F,1807,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 009,2010,79392,AHY,F,1701,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 010,2010,79391,AHY,F,1487,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 011,2010,79211,AHY,F,1594,Nesting,1,1,1,0,0,0,0,0,0,MW960853,,
EMGO AK10 012,2010,79285,AHY,F,1543,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 013,2010,79226,AHY,F,1555,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 014,2010,79393,AHY,F,1594,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 015,2010,78729,AHY,F,1433,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 016,2010,78762,AHY,F,1490,Nesting,1,1,1,0,0,0,0,0,0,"MW960854, MW960902",,
EMGO AK10 017,2010,79360,AHY,F,1432,Nesting,0,1,0,0,0,0,0,0,0,MW960794,,
EMGO AK10 018,2010,79296,AHY,F,1472,Nesting,0,0,0,0,0,1,0,0,0,,MW885271,
EMGO AK10 019,2010,79359,AHY,F,1473,Nesting,1,0,0,0,0,0,0,0,0,"MW885257, MW960795",,
EMGO AK10 020,2010,79290,AHY,F,1683,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 021,2010,79353,AHY,F,1416,Nesting,1,1,1,0,0,0,0,0,0,MW960796,,
EMGO AK10 022,2010,79293,AHY,F,1617,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 023,2010,79101,AHY,F,1625,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 024,2010,79203,AHY,F,1460,Nesting,1,1,1,0,0,0,0,0,0,MW960903,,
EMGO AK10 025,2010,78728,AHY,F,,Nesting,0,1,1,0,0,0,0,0,0,MW960904,,
EMGO AK10 026,2010,79358,AHY,F,1648,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 027,2010,79354,AHY,F,1542,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 028,2010,79357,AHY,F,1594,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 029,2010,26916,AHY,F,1633,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 030,2010,79291,AHY,F,1590,Nesting,1,1,1,0,0,0,0,0,0,"MW960855, MW960905",,
EMGO AK10 031,2010,79294,AHY,F,1616,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 032,2010,78219,AHY,F,1793,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 033,2010,79287,AHY,F,1594,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 034,2010,79361,AHY,F,1786,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 035,2010,57648,AHY,F,1414,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 036,2010,57209,AHY,F,1640,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 037,2010,79355,AHY,F,1592,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 038,2010,79283,AHY,F,1703,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 039,2010,79286,AHY,F,1700,Nesting,0,0,0,0,0,0,0,0,0,,,
