Sample_ID,Year,Band_ID,Species,AgeClass,Sex,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L1_GenBank,L2_GenBank,L3_GenBank,H1_GenBank,H2_GenBank,H3_GenBank,P1_GenBank,P2_GenBank,P3_GenBank
CACG AK14 080,2014,28318,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 081,2014,28327,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 082,2014,28329,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 083,2014,28331,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 084,2014,28330,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 085,2014,28342,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 086,2014,28340,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 087,2014,28338,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 088,2014,28339,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 089,2014,28337,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 090,2014,28336,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 091,2014,28335,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 092,2014,28334,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 093,2014,28333,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 094,2014,28345,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 095,2014,28343,Cackling goose,HY,F,Brood Drives,0,0,0,1,0,0,0,0,0,,,,MW574932,,,,,
CACG AK14 096,2014,28341,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 097,2014,28344,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 098,2014,28346,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,1,,,,,,,,,MW574933
CACG AK14 099,2014,28347,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 100,2014,28348,Cackling goose,AHY,M,Brood Drives,0,1,1,0,0,0,0,0,1,,MW574918,MW574921,,,,,,MW574933
CACG AK14 101,2014,28350,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 102,2014,28351,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
